SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
leleka-100,https://globalmilitary.net/aircraft/leleka-100/,Leleka-100,,1.1 m (3.7 ft),2.0 m (6.5 ft),0.4 m (1.1 ft),,,5 kg (11 lbs),1 × Electric motor,140 km/h (87 mph),100 km (62 mi),"1,500 m (4,921 ft)",,,2 hours
falco,https://globalmilitary.net/aircraft/falco/,Leonardo Falco,,5.3 m (17.2 ft),7.2 m (23.6 ft),1.8 m (5.9 ft),,,420 kg (926 lbs),1 × Gasoline engine 48 kW each,216 km/h (134 mph),200 km (124 mi),"5,000 m (16,404 ft)",,,14 hours
l410,https://globalmilitary.net/aircraft/l410/,Let L-410,,14.5 m (47.5 ft),19.5 m (63.9 ft),5.8 m (19.1 ft),35.2 m² (378.9 sqft),"3,800 kg (8,378 lbs)","5,800 kg (12,787 lbs)",2 × turboprops Walter M601B 575 kW each,365 km/h (227 mph),"1,500 km (932 mi)","7,000 m (22,966 ft)",8.5 m/s (27.9 ft/s),,
m18-dromader,https://globalmilitary.net/aircraft/m18-dromader/,M-18 Dromader,1–2,9.5 m (31.1 ft),17.7 m (58.1 ft),3.7 m (12.1 ft),40 m² (430.6 sqft),"2,710 kg (5,975 lbs)","4,200 kg (9,259 lbs)",1 × PZL Kalisz ASz-621R 731 kW each,200 km/h (124 mph),970 km (603 mi),"6,500 m (21,325 ft)",6.5 m/s (21.3 ft/s),,,
m346-master,https://globalmilitary.net/aircraft/m346-master/,M-346 Master,2,11.5 m (37.7 ft),9.7 m (31.9 ft),4.8 m (15.6 ft),23.5 m² (253.2 sqft),"4,610 kg (10,163 lbs)","9,500 kg (20,944 lbs)","2 × turbofans Honeywell F124-GA-200 2,835 kgf each",1092 km/h (Mach 1.09),"1,925 km (1,196 mi)","13,716 m (45,000 ft)",127.0 m/s (416.7 ft/s),Martin-Baker Mk 16,"320 m (1,050 ft)",
m4-bison,https://globalmilitary.net/aircraft/m4-bison/,M-4 Bison,7,47.2 m (154.9 ft),50.5 m (165.7 ft),14.1 m (46.3 ft),326.4 m² (3512.8 sqft),"79,700 kg (175,708 lbs)","181,500 kg (400,139 lbs)","4 × turbojets Mikouline AM-3 9,525 kgf each",947 km/h (588 mph),"5,600 km (3,480 mi)","11,000 m (36,089 ft)",,,,
m-50-bounder,https://globalmilitary.net/aircraft/m-50-bounder/,M-50 Bounder,2,57.5 m (188.6 ft),25.1 m (82.3 ft),8.3 m (27.1 ft),290.6 m² (3128.0 sqft),"85,000 kg (187,393 lbs)","200,000 kg (440,924 lbs)",4 × turbojets Dobrynin VD-7F 137 kN each,1950 km/h (Mach 1.95),"7,400 km (4,598 mi)","16,500 m (54,134 ft)",,,,
m-55-mystic,https://globalmilitary.net/aircraft/m-55-mystic/,M-55 Mystic,1,22.9 m (75.0 ft),37.5 m (122.9 ft),4.8 m (15.7 ft),131.6 m² (1416.5 sqft),"13,995 kg (30,854 lbs)","23,800 kg (52,470 lbs)",2 × turbofans Soloviev D-30-V12 93 kN each,750 km/h (466 mph),"4,965 km (3,085 mi)","21,500 m (70,538 ft)",,,,6 hours
m28-skytruck,https://globalmilitary.net/aircraft/m28-skytruck/,M28 Skytruck,2,13.1 m (43.0 ft),22.1 m (72.4 ft),4.9 m (16.1 ft),39.7 m² (427.5 sqft),"4,354 kg (9,599 lbs)","7,500 kg (16,535 lbs)",2 × Pratt & Whitney Canada PT6A-65B 820 kW each,355 km/h (221 mph),"1,592 km (989 mi)","7,620 m (25,000 ft)",12.29 m/s (40.3 ft/s),,,6 hours
mb-326k,https://globalmilitary.net/aircraft/mb-326k/,MB-326K,,10.7 m (34.9 ft),10.6 m (34.6 ft),3.7 m (12.2 ft),19 m² (204.5 sqft),"2,237 kg (4,932 lbs)","3,765 kg (8,300 lbs)","1 × turbojet Bristol-Siddeley Viper Mk11 1,134 kgf each",806 km/h (501 mph),"1,850 km (1,150 mi)","12,497 m (41,001 ft)",22.3 m/s (73.2 ft/s),Martin-Baker Mk 4,,
mb-339,https://globalmilitary.net/aircraft/mb-339/,MB-339,,11.0 m (36.0 ft),10.9 m (35.6 ft),3.6 m (11.8 ft),19 m² (204.5 sqft),"3,075 kg (6,779 lbs)","5,897 kg (13,001 lbs)","1 × turbojet Rolls-Royce Viper 632 1,814 kgf each",898 km/h (558 mph),"1,760 km (1,094 mi)","14,630 m (47,999 ft)",33.5 m/s (109.9 ft/s),Martin-Baker Mk 10,,
bo-105,https://globalmilitary.net/aircraft/bo-105/,MBB Bo 105,,11.9 m (38.9 ft),9.8 m (32.3 ft),3.0 m (9.9 ft),,"1,675 kg (3,693 lbs)","2,700 kg (5,952 lbs)",2 × turboshafts Allison 250-C20R3 332 kW each,270 km/h (168 mph),657 km (408 mi),"5,182 m (17,001 ft)",8.0 m/s (26.2 ft/s),,,
md-450-ouragan,https://globalmilitary.net/aircraft/md-450-ouragan/,MD-450 Ouragan,1,10.7 m (35.2 ft),13.2 m (43.2 ft),4.1 m (13.6 ft),23.8 m² (256.2 sqft),"4,142 kg (9,132 lbs)","7,900 kg (17,416 lbs)","1 × turbojet with centrifugal compressor Rolls-Royce Nene 104B 2,263 kgf each",940 km/h (584 mph),920 km (572 mi),"13,000 m (42,651 ft)",38.0 m/s (124.7 ft/s),Martin-Baker Mk 4,,
md-500,https://globalmilitary.net/aircraft/md-500/,MD-500,1,9.4 m (30.8 ft),8.3 m (27.3 ft),2.6 m (8.4 ft),"672 kg (1,482 lbs)","1,361 kg (3,000 lbs)",1 × turboshaft Allison 250-C20B 313 kW each,282 km/h (175 mph),430 km (267 mi),"4,877 m (16,001 ft)",9.0 m/s (29.5 ft/s),,
md-900,https://globalmilitary.net/aircraft/md-900/,MD-900,2,9.9 m (32.4 ft),10.3 m (33.8 ft),3.7 m (12.0 ft),"1,531 kg (3,375 lbs)","2,835 kg (6,250 lbs)",2 × turboshafts Pratt & Whitney Canada PW206E 410 kW each,259 km/h (161 mph),543 km (337 mi),"5,334 m (17,500 ft)",5.1 m/s (16.7 ft/s),,
mfi-15-safari,https://globalmilitary.net/aircraft/mfi-15-safari/,MFI-15 Safari,,7.2 m (23.5 ft),8.9 m (29.0 ft),2.6 m (8.5 ft),"760 kg (1,676 lbs)","1,250 kg (2,756 lbs)",1 × pistons engine Lycoming IO-540-V4A5 194 kW each,236 km/h (147 mph),700 km (435 mi),"6,706 m (22,001 ft)",8.6 m/s (28.2 ft/s),11.9 m² (128.1 sqft),
mh-53j-pave-low-iii,https://globalmilitary.net/aircraft/mh-53j-pave-low-iii/,MH-53J Pave Low III,"6 (2 pilots, 2 flight engineers, 2 aerial gunners)",27 m (88.6 ft),22.0 m (72.0 ft),7.6 m (24.9 ft),"14,515 kg (32,000 lbs)","20,865 kg (45,999 lbs)","2 × General Electric T64-GE-100 3,230 kW each",310 km/h (193 mph),"1,100 km (684 mi)","4,900 m (16,076 ft)",,378.4 m² (4073.0 sqft),
mq-1-predator,https://globalmilitary.net/aircraft/mq-1-predator/,MQ-1 Predator,,8.2 m (27.0 ft),14.8 m (48.6 ft),,"512 kg (1,129 lbs)","1,020 kg (2,249 lbs)",1 × Rotax 912ULS,217 km/h (135 mph),"1,250 km (777 mi)","7,620 m (25,000 ft)",,,24 hours
mq-1c-gray-eagle,https://globalmilitary.net/aircraft/mq-1c-gray-eagle/,MQ-1C Gray Eagle,,8.5 m (28.0 ft),17 m (55.8 ft),2.1 m (6.9 ft),"1,318 kg (2,906 lbs)","1,633 kg (3,600 lbs)",1 × Thielert Centurion 1.7 Heavy-Fuel Engine 123 kW each,309 km/h (192 mph),370 km (230 mi),"8,839 m (28,999 ft)",,,25 hours
mq-20-avenger,https://globalmilitary.net/aircraft/mq-20-avenger/,MQ-20 Avenger,,13 m (42.7 ft),20 m (65.6 ft),,,"8,255 kg (18,199 lbs)",1 × Pratt & Whitney Canada PW545B 17 kN each,740 km/h (460 mph),"2,900 km (1,802 mi)","15,240 m (50,000 ft)",,,18 hours
mq-25-stingray,https://globalmilitary.net/aircraft/mq-25-stingray/,MQ-25 Stingray,,15.5 m (50.9 ft),22.9 m (75.1 ft),3 m (9.8 ft),"6,400 kg (14,110 lbs)",,1 × Rolls-Royce AE 3007N 44 kN each,620 km/h (385 mph),930 km (578 mi),"12,000 m (39,370 ft)",,,
mq-28-ghost-bat,https://globalmilitary.net/aircraft/mq-28-ghost-bat/,MQ-28 Ghost Bat,,11.7 m (38.4 ft),7.3 m (24.0 ft),,"1,500 kg (3,307 lbs)",,1 × Williams FJ44 or Pratt & Whitney Canada PW300,,"3,700 km (2,299 mi)",,,,
mq-4-triton,https://globalmilitary.net/aircraft/mq-4-triton/,MQ-4 Triton,,14.5 m (47.6 ft),39.9 m (130.9 ft),,"6,781 kg (14,950 lbs)","14,628 kg (32,249 lbs)",1 × Rolls-Royce AE3007H turbofan engine,610 km/h (379 mph),"15,200 km (9,445 mi)","16,800 m (55,118 ft)",,,30 hours
mq-8-fire-scout,https://globalmilitary.net/aircraft/mq-8-fire-scout/,MQ-8 Fire Scout,7.3 m (24.0 ft),9.8 m (32.2 ft),"940 kg (2,072 lbs)","1,450 kg (3,197 lbs)",1 × Rolls-Royce 250-C20W turboshaft,230 km/h (143 mph),200 km (124 mi),8 hours,"6,100 m (20,013 ft)",,,,,
mq-9-reaper,https://globalmilitary.net/aircraft/mq-9-reaper/,MQ-9 Reaper,11 m (36.1 ft),20 m (65.6 ft),"2,223 kg (4,901 lbs)","4,760 kg (10,494 lbs)",1 × Honeywell TPE331-10GD turboprop engine,300 km/h (186 mph),"1,850 km (1,150 mi)",27 hours,"15,000 m (49,213 ft)",,,,,
mq-9b-skyguardian,https://globalmilitary.net/aircraft/mq-9b-skyguardian/,MQ-9B SkyGuardian,11.7 m (38.4 ft),24 m (78.7 ft),,"5,670 kg (12,500 lbs)",1 × Honeywell TPE331-10 turboprop engine 671 kW each,390 km/h (242 mph),"11,000 km (6,835 mi)",40 hours,"12,200 m (40,026 ft)",,,,,
mqm-107-streaker,https://globalmilitary.net/aircraft/mqm-107-streaker/,MQM-107 Streaker,5.5 m (18.0 ft),3 m (9.8 ft),,"664 kg (1,464 lbs)",1 × Microturbo TRI 60 Turbojet,925 km/h (575 mph),,,"12,192 m (40,000 ft)",1.5 m (4.8 ft),,,,
ms-733-alcyon,https://globalmilitary.net/aircraft/ms-733-alcyon/,MS 733 Alcyon,9.3 m (30.6 ft),11.3 m (37.0 ft),"1,262 kg (2,782 lbs)","1,670 kg (3,682 lbs)",1 × pistons engine Potez 6D30 177 kW each,240 km/h (149 mph),920 km (572 mi),,"4,800 m (15,748 ft)",3.5 m (11.4 ft),"2 (pilot, instructor)",20.4 m² (219.6 sqft),5.0 m/s (16.4 ft/s),
mv-75-cheyenne-ii,https://globalmilitary.net/aircraft/mv-75-cheyenne-ii/,MV-75 Cheyenne II,15.4 m (50.5 ft),24.9 m (81.8 ft),"8,200 kg (18,078 lbs)","14,000 kg (30,865 lbs)","2 × Rolls-Royce AE 1107F 5,220 kW each",556 km/h (345 mph),"3,900 km (2,423 mi)",,"6,000 m (19,685 ft)",7 m (23.0 ft),"4 (2 pilots, 2 crew chiefs)",,23.0 m/s (75.5 ft/s),
dc-10,https://globalmilitary.net/aircraft/dc-10/,McDonnell Douglas DC-10,55.5 m (182.1 ft),50.4 m (165.4 ft),"121,198 kg (267,196 lbs)","263,083 kg (579,998 lbs)","3 × turbofans General Electric CF6-50C2 23,814 kgf each",1052 km/h (Mach 1.05),"9,600 km (5,965 mi)",,"12,802 m (42,001 ft)",17.7 m (58.1 ft),,368 m² (3961.1 sqft),,"2,847 m (9,341 ft)"
meraj-521,https://globalmilitary.net/aircraft/meraj-521/,Meraj-521,0.8 m (2.5 ft),1 m (3.3 ft),,,1 × electric motor,,5 km (3 mi),,150 m (492 ft),,,,,
mi-1-hare,https://globalmilitary.net/aircraft/mi-1-hare/,Mi-1 Hare,12.1 m (39.7 ft),14.4 m (47.1 ft),"1,700 kg (3,748 lbs)","2,330 kg (5,137 lbs)",1 × radial engine Ivchenko-Progress AI-26V 423 kW each,185 km/h (115 mph),430 km (267 mi),,"3,500 m (11,483 ft)",3.3 m (10.8 ft),1,,5.3 m/s (17.4 ft/s),
mi-10,https://globalmilitary.net/aircraft/mi-10/,Mi-10,32.9 m (107.8 ft),35 m (114.8 ft),"27,100 kg (59,745 lbs)","43,700 kg (96,342 lbs)","2 × Soloviev D-25V 4,100 kW each",335 km/h (208 mph),430 km (267 mi),,"3,000 m (9,843 ft)",,"3 (pilot, co-pilot, flight engineer)",962 m² (10354.9 sqft),,
mi-14-haze,https://globalmilitary.net/aircraft/mi-14-haze/,Mi-14 Haze,4,18.4 m (60.3 ft),21.3 m (69.8 ft),6.9 m (22.7 ft),"11,750 kg (25,904 lbs)","14,000 kg (30,865 lbs)","2 × turboshafts Klimov TV3-117MT 1,454 kW each",230 km/h (143 mph),"1,135 km (705 mi)","3,500 m (11,483 ft)",,
mi-17-hip-h,https://globalmilitary.net/aircraft/mi-17-hip-h/,Mi-17 Hip-H,3,18.5 m (60.6 ft),21.3 m (69.7 ft),4.8 m (15.6 ft),"7,489 kg (16,510 lbs)","13,000 kg (28,660 lbs)","2 × turboshafts Klimov TV3-117VM 1,491 kW each",250 km/h (155 mph),800 km (497 mi),"6,000 m (19,685 ft)",8.0 m/s (26.2 ft/s),
mi-2-hoplite,https://globalmilitary.net/aircraft/mi-2-hoplite/,Mi-2 Hoplite,1,11.4 m (37.4 ft),14.5 m (47.6 ft),3.8 m (12.3 ft),"2,372 kg (5,229 lbs)","3,700 kg (8,157 lbs)",2 × turboshafts PZL-Rzeszów GTD-350P 294 kW each,200 km/h (124 mph),440 km (273 mi),"4,000 m (13,123 ft)",4.5 m/s (14.8 ft/s),
mi-24-hind,https://globalmilitary.net/aircraft/mi-24-hind/,Mi-24 Hind,"2 (pilot, WSO)",21.4 m (70.0 ft),6.5 m (21.5 ft),5.5 m (17.9 ft),"7,792 kg (17,178 lbs)","11,500 kg (25,353 lbs)","2 × turboshafts Isotov TV3-117 1,641 kW each",330 km/h (205 mph),450 km (280 mi),"5,120 m (16,798 ft)",15.0 m/s (49.2 ft/s),
mi-26-halo,https://globalmilitary.net/aircraft/mi-26-halo/,Mi-26 Halo,5,40.0 m (131.3 ft),32 m (105.0 ft),8.1 m (26.7 ft),"28,200 kg (62,170 lbs)","56,000 kg (123,459 lbs)","2 × turboshafts ZMKB Progress D-136 8,500 kW each",295 km/h (183 mph),500 km (311 mi),"4,600 m (15,092 ft)",,804.3 m² (8656.9 sqft)
mi-28-havoc,https://globalmilitary.net/aircraft/mi-28-havoc/,Mi-28 Havoc,"2 (pilot, WSO)",17.0 m (55.8 ft),17.2 m (56.4 ft),4.7 m (15.4 ft),"8,590 kg (18,938 lbs)","12,000 kg (26,455 lbs)","2 × turboshafts Klimov TV3-117VMA 1,641 kW each",324 km/h (201 mph),"1,100 km (684 mi)","5,700 m (18,701 ft)",13.6 m/s (44.6 ft/s),
mi-34-hermit,https://globalmilitary.net/aircraft/mi-34-hermit/,Mi-34 Hermit,1,11.4 m (37.4 ft),10 m (32.8 ft),2.8 m (9.0 ft),"950 kg (2,094 lbs)","1,450 kg (3,197 lbs)",1 × pistons engine Vedeneyev M14V-26 239 kW each,210 km/h (130 mph),450 km (280 mi),"4,000 m (13,123 ft)",,
mi-35m,https://globalmilitary.net/aircraft/mi-35m/,Mi-35M,3–4,17.5 m (57.4 ft),17.2 m (56.4 ft),6.5 m (21.3 ft),"8,500 kg (18,739 lbs)","12,000 kg (26,455 lbs)","2 × turboshafts Klimov VK-2500 1,790 kW each",320 km/h (199 mph),450 km (280 mi),"5,750 m (18,865 ft)",15.0 m/s (49.2 ft/s),227 m² (2443.4 sqft)
mi-38,https://globalmilitary.net/aircraft/mi-38/,Mi-38,,19.7 m (64.6 ft),21.1 m (69.2 ft),5.1 m (16.8 ft),"8,300 kg (18,298 lbs)","15,600 kg (34,392 lbs)","2 × turboshafts Klimov TV7-117V 2,059 kW each",300 km/h (186 mph),880 km (547 mi),"5,100 m (16,732 ft)",,
mi-4-hound,https://globalmilitary.net/aircraft/mi-4-hound/,Mi-4 Hound,1–2,16.8 m (55.1 ft),21 m (68.9 ft),4.4 m (14.4 ft),"5,100 kg (11,244 lbs)","7,550 kg (16,645 lbs)","1 × Shvetsov ASh-82V 14-cylinder air-cooled radial piston engine 1,250 kW each",185 km/h (115 mph),500 km (311 mi),"5,500 m (18,045 ft)",,346.4 m² (3728.6 sqft)
mi-6-hook,https://globalmilitary.net/aircraft/mi-6-hook/,Mi-6 Hook,"6 (pilot, co-pilot, navigator, flight engineer, radio operator, technician)",33.2 m (108.9 ft),35 m (114.8 ft),9.2 m (30.0 ft),962.1 m² (10355.9 sqft),"44,000 kg (97,003 lbs)","2 × Soloviev D-25V turboshaft 4,100 kW each",300 km/h (186 mph),970 km (603 mi),2 hours,"4,500 m (14,764 ft)",5.0 m/s (16.4 ft/s),,,
mi-8-hip,https://globalmilitary.net/aircraft/mi-8-hip/,Mi-8 Hip,"3 (2 pilots, flight engineer)",25.2 m (82.8 ft),21.3 m (69.8 ft),5.7 m (18.5 ft),,"12,000 kg (26,455 lbs)","2 × turboshafts Klimov TV2-117 1,119 kW each",250 km/h (155 mph),495 km (308 mi),,"4,500 m (14,764 ft)",,"7,160 kg (15,785 lbs)",,
mig-15-fagot,https://globalmilitary.net/aircraft/mig-15-fagot/,MiG-15 Fagot,1,10.1 m (33.2 ft),10.1 m (33.1 ft),3.7 m (12.1 ft),20.6 m² (221.7 sqft),"6,105 kg (13,459 lbs)","1 × turbojet Klimov VK-1 2,700 kgf each",1075 km/h (Mach 1.07),"2,520 km (1,566 mi)",,"15,500 m (50,853 ft)",50.0 m/s (164.0 ft/s),"3,580 kg (7,893 lbs)",Severin KS-1,
mig-17-fresco,https://globalmilitary.net/aircraft/mig-17-fresco/,MiG-17 Fresco,1,11.3 m (36.9 ft),9.6 m (31.5 ft),3.8 m (12.5 ft),22.6 m² (243.3 sqft),"6,069 kg (13,380 lbs)","1 × turbojet Klimov VK-1F 3,447 kgf each",1145 km/h (Mach 1.15),"2,020 km (1,255 mi)",,"16,600 m (54,462 ft)",65.0 m/s (213.3 ft/s),"3,919 kg (8,640 lbs)",Mikoyan-Gourevitch KM-1,
mig-19-farmer,https://globalmilitary.net/aircraft/mig-19-farmer/,MiG-19 Farmer,1,12.5 m (41.1 ft),9.2 m (30.2 ft),3.9 m (12.7 ft),25.2 m² (270.8 sqft),"8,832 kg (19,471 lbs)","2 × turbojets Tumansky RD-9B 3,243 kgf each",1455 km/h (Mach 1.46),"2,200 km (1,367 mi)",,"17,500 m (57,415 ft)",180.0 m/s (590.6 ft/s),"5,447 kg (12,009 lbs)",Severin KS-1,"900 m (2,953 ft)"
mig-21-fishbed,https://globalmilitary.net/aircraft/mig-21-fishbed/,MiG-21 Fishbed,1,13.5 m (44.2 ft),7.2 m (23.5 ft),4.1 m (13.5 ft),23 m² (247.6 sqft),"8,625 kg (19,015 lbs)","1 × turbojet Tumansky R-11F-300 4,689 kgf each",2125 km/h (Mach 2.12),660 km (410 mi),,"19,000 m (62,336 ft)",,"4,871 kg (10,739 lbs)",Severin KS-1,
mig-23-flogger,https://globalmilitary.net/aircraft/mig-23-flogger/,MiG-23 Flogger,1,16.7 m (54.8 ft),14.0 m (45.8 ft),4.8 m (15.8 ft),37 m² (398.3 sqft),"17,800 kg (39,242 lbs)","1 × turbofan Tumansky R-35F-300 12,996 kgf each",2500 km/h (Mach 2.5),"2,360 km (1,466 mi)",,"18,000 m (59,055 ft)",240.0 m/s (787.4 ft/s),"10,230 kg (22,553 lbs)",Mikoyan-Gourevitch KM-1,"450 m (1,476 ft)"
mig-25-foxbat,https://globalmilitary.net/aircraft/mig-25-foxbat/,MiG-25 Foxbat,1,23.8 m (78.1 ft),14.0 m (46.0 ft),6.1 m (20.0 ft),61.4 m² (660.9 sqft),"36,200 kg (79,807 lbs)","2 × turbojets Tumansky R-15BD-300 10,207 kgf each",3000 km/h (Mach 3.0),"2,575 km (1,600 mi)",,"20,700 m (67,913 ft)",208.0 m/s (682.4 ft/s),"20,000 kg (44,092 lbs)",Mikoyan-Gourevitch KM-1,"1,200 m (3,937 ft)"
mig-27-flogger,https://globalmilitary.net/aircraft/mig-27-flogger/,MiG-27 Flogger,1,17.1 m (56.0 ft),14.0 m (45.8 ft),5 m (16.4 ft),37.4 m² (402.0 sqft),"20,670 kg (45,569 lbs)","1 × turbojet Khatchaturov R-29B-300 11,502 kgf each",1885 km/h (Mach 1.89),"2,500 km (1,553 mi)",,"14,000 m (45,932 ft)",200.0 m/s (656.2 ft/s),"11,908 kg (26,253 lbs)",Mikoyan-Gourevitch KM-1,
mig-29-fulcrum,https://globalmilitary.net/aircraft/mig-29-fulcrum/,MiG-29 Fulcrum,1,17.3 m (56.8 ft),11.4 m (37.3 ft),4.7 m (15.5 ft),38 m² (409.0 sqft),"18,000 kg (39,683 lbs)","2 × turbofans Klimov RD-33 8,319 kgf each",2450 km/h (Mach 2.45),"2,100 km (1,305 mi)",,"18,000 m (59,055 ft)",330.0 m/s (1082.7 ft/s),"11,000 kg (24,251 lbs)",Zvezda K-36DM,
mig-29k-fulcrum-d,https://globalmilitary.net/aircraft/mig-29k-fulcrum-d/,MiG-29K Fulcrum-D,1,17.3 m (56.8 ft),12.0 m (39.3 ft),4.4 m (14.4 ft),43 m² (462.8 sqft),"12,000 kg (26,455 lbs)","24,500 kg (54,013 lbs)","2 × turbofans Klimov RD-33MK 9,000 kgf each",Zvezda K-36DM,2200 km/h (Mach 2.2),"3,000 km (1,864 mi)","17,500 m (57,415 ft)",330.0 m/s (1082.7 ft/s)
mig-31-foxhound,https://globalmilitary.net/aircraft/mig-31-foxhound/,MiG-31 Foxhound,"2 (pilot, WSO)",22.7 m (74.4 ft),13.5 m (44.2 ft),6.2 m (20.2 ft),61.6 m² (663.1 sqft),"21,830 kg (48,127 lbs)","46,200 kg (101,853 lbs)","2 × turbofans Soloviev D-30F6 15,500 kgf each",Zvezda K-36DM,3000 km/h (Mach 3.0),"3,000 km (1,864 mi)","20,600 m (67,585 ft)",208.0 m/s (682.4 ft/s)
mig-35,https://globalmilitary.net/aircraft/mig-35/,MiG-35,1–2,17.3 m (56.8 ft),12 m (39.4 ft),4.7 m (15.4 ft),41 m² (441.3 sqft),"11,000 kg (24,251 lbs)","24,500 kg (54,013 lbs)","2 × turbofans Klimov RD-33MK 8,995 kgf each",,2100 km/h (Mach 2.1),"3,000 km (1,864 mi)","16,000 m (52,493 ft)",330.0 m/s (1082.7 ft/s)
mig-9-fargo,https://globalmilitary.net/aircraft/mig-9-fargo/,MiG-9 Fargo,1,9.8 m (32.0 ft),10 m (32.8 ft),3.2 m (10.6 ft),18.2 m² (195.9 sqft),"3,283 kg (7,238 lbs)","4,860 kg (10,714 lbs)",2 × turbojets Tumansky RD-20 800 kgf each,,910 km/h (565 mph),800 km (497 mi),"13,000 m (42,651 ft)",22.0 m/s (72.2 ft/s)
mirage-2000,https://globalmilitary.net/aircraft/mirage-2000/,Mirage 2000,1,14.4 m (47.1 ft),9.1 m (30.0 ft),5.2 m (17.1 ft),41 m² (441.3 sqft),"7,500 kg (16,535 lbs)","17,500 kg (38,581 lbs)","1 × turbofan SNECMA M53-P2 9,697 kgf each",Martin-Baker Mk 10,2336 km/h (Mach 2.34),"3,335 km (2,072 mi)","18,300 m (60,039 ft)",305.0 m/s (1000.7 ft/s)
mirage-4000,https://globalmilitary.net/aircraft/mirage-4000/,Mirage 4000,1,18.7 m (61.4 ft),11.9 m (39.1 ft),6.0 m (19.6 ft),72.7 m² (782.5 sqft),"13,490 kg (29,740 lbs)","32,000 kg (70,548 lbs)","2 × turbofans SNECMA M53-2 11,100 kgf each",Martin-Baker Mk 10,2445 km/h (Mach 2.44),"2,000 km (1,243 mi)","20,000 m (65,617 ft)",305.0 m/s (1000.7 ft/s)
mirage-f1,https://globalmilitary.net/aircraft/mirage-f1/,Mirage F1,1,15.5 m (51.0 ft),8.5 m (27.7 ft),4.6 m (15.0 ft),25 m² (269.1 sqft),"8,024 kg (17,690 lbs)","15,200 kg (33,510 lbs)","1 × turbojet SNECMA Atar 9K-50 7,199 kgf each",Martin-Baker Mk 4,2350 km/h (Mach 2.35),"3,300 km (2,051 mi)","20,000 m (65,617 ft)",242.0 m/s (794.0 ft/s)
mirage-f2-f3,https://globalmilitary.net/aircraft/mirage-f2-f3/,Mirage F2 / F3,"2 (pilot, WSO)",17.6 m (57.7 ft),10.5 m (34.4 ft),5.8 m (19.0 ft),36 m² (387.5 sqft),"9,800 kg (21,605 lbs)","18,000 kg (39,683 lbs)","1 × turbofan Pratt & Whitney TF30 9,072 kgf each",Martin-Baker Mk 4,1650 km/h (Mach 1.65),,"20,000 m (65,617 ft)",
mirage-g,https://globalmilitary.net/aircraft/mirage-g/,Mirage G,1,18.8 m (61.7 ft),15.4 m (50.5 ft),5.4 m (17.6 ft),37 m² (398.3 sqft),"14,740 kg (32,496 lbs)","23,800 kg (52,470 lbs)","2 × turbojets SNECMA Atar 9K50 7,148 kgf each",Martin-Baker Mk 4,2390 km/h (Mach 2.39),"3,850 km (2,392 mi)","18,500 m (60,696 ft)",
mirage-i-md550,https://globalmilitary.net/aircraft/mirage-i-md550/,Mirage I / MD-550 Mystère Delta,1,12.8 m (42.0 ft),7.3 m (24.0 ft),,27.1 m² (291.7 sqft),"3,610 kg (7,959 lbs)","5,150 kg (11,354 lbs)","2 × turbojets Dassault MD-30R 1,960 kgf each",Martin-Baker Mk 4,1700 km/h (Mach 1.7),,"14,600 m (47,900 ft)",
fck-1-ching-kuo,https://globalmilitary.net/aircraft/fck-1-ching-kuo/,F-CK-1 Ching-Kuo,1,14.2 m (46.6 ft),9 m (29.5 ft),4.4 m (14.5 ft),24.2 m² (260.5 sqft),"6,486 kg (14,299 lbs)","12,247 kg (27,000 lbs)","2 × turbofans Honeywell F125-70 5,444 kgf each",Martin-Baker Mk 12,2223 km/h (Mach 2.22),"1,100 km (684 mi)","16,764 m (55,000 ft)",,,
king-air-350,https://globalmilitary.net/aircraft/king-air-350/,King Air 350,1–2,14.2 m (46.7 ft),17.7 m (57.9 ft),4.4 m (14.3 ft),,"4,516 kg (9,956 lbs)","6,804 kg (15,000 lbs)",2 × turboprops Pratt & Whitney Canada PT6A-60A 783 kW each,,578 km/h (359 mph),"3,345 km (2,078 mi)","10,668 m (35,000 ft)",7 hours,,
mirage-iii-5-50,https://globalmilitary.net/aircraft/mirage-iii-5-50/,Mirage III / 5 / 50,1,15.3 m (50.1 ft),8.2 m (27.0 ft),4.5 m (14.8 ft),34.8 m² (374.6 sqft),"6,740 kg (14,859 lbs)","12,000 kg (26,455 lbs)","1 × turbojet SNECMA Atar 9C-3 6,200 kgf each",Martin-Baker SRM-6,2350 km/h (Mach 2.35),"3,335 km (2,072 mi)","17,000 m (55,774 ft)",,83.0 m/s (272.3 ft/s),
mirage-iv,https://globalmilitary.net/aircraft/mirage-iv/,Mirage IV,"2 (pilot, navigator/bombardier)",23.5 m (77.1 ft),11.9 m (38.9 ft),5.4 m (17.7 ft),78 m² (839.6 sqft),"14,500 kg (31,967 lbs)","33,745 kg (74,395 lbs)","2 × turbojets SNECMA Atar 9K 9,400 kgf each",Martin-Baker Mk 4,2340 km/h (Mach 2.34),"4,000 km (2,485 mi)","20,000 m (65,617 ft)",,,
